coments;country
H_i An là m_t thành ph_ c_ n_i l_u gi_ nhi_u di s_n v_n hóa ki_n trúc c_ kính và n_i ti_ng v_i các món _n __c s_n;Vi_t Nam
Chumphon là m_t t_nh ven bi_n n_i có bãi bi_n __p và r_t nhi_u _i_m du l_ch h_p d_n nh_ __o Koh Samet;Thái Lan
Koh Samui là m_t hòn __o n_i ti_ng c_a Thái Lan v_i các bãi bi_n __p các chùa __n l_ch s_ nh_ng khu v_c mua s_m s_m u_t và các khu ngh_ d__ng cao c_p;Thái Lan
Hu_ là m_t thành ph_ l_ch s_ n_i ti_ng v_i các __a danh nh_ kinh thành __i n_i các ngôi __n chùa l_ch s_ và c_nh quan thiên nhiên tuy_t __p;Vi_t Nam
Quy Nh_n là m_t thành ph_ ven bi_n v_i các bãi bi_n __p __c bi_t là bãi bi_n Nh_n L_ các di tích l_ch s_ và các món _n __c s_n;Vi_t Nam
Krabi là m_t t_nh ven bi_n _ mi_n Trung Thái Lan n_i có các bãi bi_n __p r_ng nhi_t __i h_ th_ng hang __ng và các khu ngh_ d__ng cao c_p;Thái Lan
Phuket là m_t hòn __o n_i ti_ng c_a Thái Lan v_i các bãi bi_n __p các __a _i_m du l_ch l_ch s_ và v_n hóa các khu v_c mua s_m s_m u_t và các khu ngh_ d__ng cao c_p;Thái Lan
Nha Trang là m_t thành ph_ v_i bãi bi_n __p các __a _i_m du l_ch l_ch s_ và v_n hóa các khu v_c mua s_m và _m th_c phong phú;Vi_t Nam
Hu_ là m_t _i_m __n du l_ch l_ch s_ v_i nh_ng di tích v_n hóa ki_n trúc c_ kính và c_nh quan thiên nhiên __p nh_ sông H__ng núi Ng_ Bình và _èo H_i Vân;Vi_t Nam
_à N_ng là m_t thành ph_ du l_ch phát tri_n v_i các __a danh nh_ bán __o S_n Trà c_u R_ng và bãi bi_n M_ Khê;Vi_t Nam
H_i An là m_t thành ph_ c_ kính v_i nh_ng di s_n v_n hóa ki_n trúc c_ kính và các món _n __c s_n nh_ bánh mì Ph__ng bánh __p mì Qu_ng;Vi_t Nam
Krabi là m_t t_nh ven bi_n v_i các bãi bi_n __p r_ng nhi_t __i các khu ngh_ d__ng sang tr_ng và th_c _n __c s_n __c _áo;Thái Lan
Phuket là m_t hòn __o l_n và n_i ti_ng v_i bãi bi_n Patong n_i ti_ng các khu v_c mua s_m s_m u_t các công trình ki_n trúc __c bi_t và các khu ngh_ d__ng cao c_p;Thái Lan
